model,scope,bet_type,races,hit_races,hit_rate_pct,total_stake,total_return,return_rate_pct
軸流し専用探索候補(pattern#194・不採用/参考),高確信度5レース/日(計60レース),3連単_マルチ,60,8,13.3,108000.0,92980.0,86.1
軸流し専用探索候補(pattern#194・不採用/参考),高確信度6レース/日(計72レース),馬連,72,19,26.4,21600.0,18780.0,86.9
軸流し専用探索候補(pattern#194・不採用/参考),高確信度6レース/日(計72レース),ワイド,72,29,40.3,21600.0,17070.0,79.0
軸流し専用探索候補(pattern#194・不採用/参考),高確信度6レース/日(計72レース),3連複,72,10,13.9,21600.0,16890.0,78.2
軸流し専用探索候補(pattern#194・不採用/参考),高確信度6レース/日(計72レース),馬単_軸流し,72,12,16.7,21600.0,17160.0,79.4
軸流し専用探索候補(pattern#194・不採用/参考),高確信度6レース/日(計72レース),馬単_マルチ,72,19,26.4,43200.0,38440.0,89.0
軸流し専用探索候補(pattern#194・不採用/参考),高確信度6レース/日(計72レース),3連単_軸流し,72,4,5.6,43200.0,16170.0,37.4
軸流し専用探索候補(pattern#194・不採用/参考),高確信度6レース/日(計72レース),3連単_マルチ,72,10,13.9,129600.0,110390.0,85.2
軸流し専用探索候補(pattern#194・不採用/参考),高確信度7レース/日(計84レース),馬連,84,20,23.8,25200.0,20050.0,79.6
軸流し専用探索候補(pattern#194・不採用/参考),高確信度7レース/日(計84レース),ワイド,84,34,40.5,25200.0,18890.0,75.0
軸流し専用探索候補(pattern#194・不採用/参考),高確信度7レース/日(計84レース),3連複,84,10,11.9,25200.0,16890.0,67.0
軸流し専用探索候補(pattern#194・不採用/参考),高確信度7レース/日(計84レース),馬単_軸流し,84,13,15.5,25200.0,19560.0,77.6
軸流し専用探索候補(pattern#194・不採用/参考),高確信度7レース/日(計84レース),馬単_マルチ,84,20,23.8,50400.0,40840.0,81.0
軸流し専用探索候補(pattern#194・不採用/参考),高確信度7レース/日(計84レース),3連単_軸流し,84,4,4.8,50400.0,16170.0,32.1
軸流し専用探索候補(pattern#194・不採用/参考),高確信度7レース/日(計84レース),3連単_マルチ,84,10,11.9,151200.0,110390.0,73.0
軸流し専用探索候補(pattern#194・不採用/参考),高確信度8レース/日(計96レース),馬連,96,21,21.9,28800.0,20580.0,71.5
軸流し専用探索候補(pattern#194・不採用/参考),高確信度8レース/日(計96レース),ワイド,96,37,38.5,28800.0,20300.0,70.5
軸流し専用探索候補(pattern#194・不採用/参考),高確信度8レース/日(計96レース),3連複,96,10,10.4,28800.0,16890.0,58.6
軸流し専用探索候補(pattern#194・不採用/参考),高確信度8レース/日(計96レース),馬単_軸流し,96,13,13.5,28800.0,19560.0,67.9
軸流し専用探索候補(pattern#194・不採用/参考),高確信度8レース/日(計96レース),馬単_マルチ,96,21,21.9,57600.0,41800.0,72.6
軸流し専用探索候補(pattern#194・不採用/参考),高確信度8レース/日(計96レース),3連単_軸流し,96,4,4.2,57600.0,16170.0,28.1
軸流し専用探索候補(pattern#194・不採用/参考),高確信度8レース/日(計96レース),3連単_マルチ,96,10,10.4,172800.0,110390.0,63.9
軸流し専用探索候補(pattern#194・不採用/参考),高確信度9レース/日(計108レース),馬連,108,24,22.2,32400.0,23170.0,71.5
軸流し専用探索候補(pattern#194・不採用/参考),高確信度9レース/日(計108レース),ワイド,108,43,39.8,32400.0,25350.0,78.2
軸流し専用探索候補(pattern#194・不採用/参考),高確信度9レース/日(計108レース),3連複,108,12,11.1,32400.0,18690.0,57.7
軸流し専用探索候補(pattern#194・不採用/参考),高確信度9レース/日(計108レース),馬単_軸流し,108,16,14.8,32400.0,24310.0,75.0
軸流し専用探索候補(pattern#194・不採用/参考),高確信度9レース/日(計108レース),馬単_マルチ,108,24,22.2,64800.0,46550.0,71.8
軸流し専用探索候補(pattern#194・不採用/参考),高確信度9レース/日(計108レース),3連単_軸流し,108,6,5.6,64800.0,25390.0,39.2
軸流し専用探索候補(pattern#194・不採用/参考),高確信度9レース/日(計108レース),3連単_マルチ,108,12,11.1,194400.0,119610.0,61.5
軸流し専用探索候補(pattern#194・不採用/参考),高確信度10レース/日(計120レース),馬連,120,26,21.7,36000.0,29150.0,81.0
軸流し専用探索候補(pattern#194・不採用/参考),高確信度10レース/日(計120レース),ワイド,120,49,40.8,36000.0,29550.0,82.1
軸流し専用探索候補(pattern#194・不採用/参考),高確信度10レース/日(計120レース),3連複,120,12,10.0,36000.0,18690.0,51.9
軸流し専用探索候補(pattern#194・不採用/参考),高確信度10レース/日(計120レース),馬単_軸流し,120,18,15.0,36000.0,33060.0,91.8
軸流し専用探索候補(pattern#194・不採用/参考),高確信度10レース/日(計120レース),馬単_マルチ,120,26,21.7,72000.0,55300.0,76.8
軸流し専用探索候補(pattern#194・不採用/参考),高確信度10レース/日(計120レース),3連単_軸流し,120,6,5.0,72000.0,25390.0,35.3
軸流し専用探索候補(pattern#194・不採用/参考),高確信度10レース/日(計120レース),3連単_マルチ,120,12,10.0,216000.0,119610.0,55.4
市場ベンチマーク(軸=1番人気・相手=2〜4番人気),全211レース,馬連,211,65,30.8,63300.0,44540.0,70.4
市場ベンチマーク(軸=1番人気・相手=2〜4番人気),全211レース,ワイド,211,106,50.2,63300.0,44240.0,69.9
市場ベンチマーク(軸=1番人気・相手=2〜4番人気),全211レース,3連複,211,30,14.2,63300.0,40040.0,63.3
市場ベンチマーク(軸=1番人気・相手=2〜4番人気),全211レース,馬単_軸流し,211,38,18.0,63300.0,37970.0,60.0
市場ベンチマーク(軸=1番人気・相手=2〜4番人気),全211レース,馬単_マルチ,211,65,30.8,126600.0,82660.0,65.3
市場ベンチマーク(軸=1番人気・相手=2〜4番人気),全211レース,3連単_軸流し,211,16,7.6,126600.0,80270.0,63.4
市場ベンチマーク(軸=1番人気・相手=2〜4番人気),全211レース,3連単_マルチ,211,30,14.2,379800.0,182190.0,48.0
