race_id,checkpoint_label,checkpoint_offset_sec,scheduled_time,fetched_time,umaban_a,umaban_b,umaren_odds,umaren_ninki
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,3,386.9,33
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,4,36.5,16
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,5,394.4,35
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,6,14.4,7
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,7,73.4,22
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,8,566.8,40
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,9,8.3,1
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,10,18.0,11
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,11,14.1,6
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,12,"1,001.2",53
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,3,440.4,37
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,4,58.1,19
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,5,390.5,34
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,6,17.7,10
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,7,73.8,23
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,8,398.7,36
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,9,8.7,2
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,10,15.2,8
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,11,24.4,13
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,2,12,596.7,41
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,4,"1,204.8",58
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,5,"1,930.4",60
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,6,663.5,43
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,7,"1,117.6",56
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,8,"2,710.8",63
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,9,378.3,31
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,10,717.7,45
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,11,884.7,50
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,3,12,"3,920.2",65
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,4,5,945.5,52
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,4,6,64.0,20
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,4,7,249.6,28
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,4,8,"1,037.9",54
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,4,9,40.4,17
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,4,10,87.1,24
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,4,11,71.4,21
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,4,12,"1,820.1",59
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,5,6,380.6,32
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,5,7,"1,147.8",57
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,5,8,"2,063.3",61
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,5,9,332.4,30
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,5,10,622.2,42
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,5,11,761.7,47
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,5,12,"4,762.9",66
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,6,7,103.2,26
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,6,8,681.3,44
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,6,9,11.4,4
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,6,10,22.7,12
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,6,11,24.6,14
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,6,12,883.2,49
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,7,8,"1,075.1",55
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,7,9,55.6,18
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,7,10,105.9,27
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,7,11,92.8,25
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,7,12,"2,486.0",62
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,8,9,326.6,29
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,8,10,527.5,39
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,8,11,728.0,46
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,8,12,"3,145.9",64
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,9,10,8.8,3
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,9,11,15.6,9
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,9,12,493.8,38
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,10,11,29.9,15
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,10,12,875.6,48
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,11,12,908.4,51
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,1,2,23.5,8
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,1,3,89.8,13
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,1,4,188.6,20
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,1,5,4.9,3
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,1,6,19.9,6
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,1,7,32.0,11
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,2,3,128.5,15
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,2,4,168.5,19
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,2,5,4.5,2
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,2,6,16.4,5
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,2,7,29.3,10
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,3,4,367.9,21
202609040302,確定,-600,2026-09-12 10:45:00,2026-09-12 10:45:13.446958,3,5,23.5,7
