race_id,bet_type,stake,return
202645072703,馬連,1000,0
202645072703,ワイド,1000,0
202645072703,馬単,2000,0
202645072703,3連複,1000,0
202645072703,3連単,6000,0
202645072704,単勝,500,260
202645072704,複勝,500,450
202645072704,枠連,0,0
202645072704,馬連,1000,830
202645072704,ワイド,1000,590
202645072704,馬単,2000,1340
202645072704,3連複,1000,320
202645072704,3連単,6000,2800
202645072705,単勝,500,790
202645072705,複勝,500,430
202645072705,枠連,0,0
202645072705,馬連,1000,1290
202645072705,ワイド,1000,520
202645072705,馬単,2000,3110
202645072705,3連複,1000,280
202645072705,3連単,6000,5860
202645072707,単勝,500,180
202645072707,複勝,500,330
202645072707,枠連,0,0
202645072707,馬連,1000,790
202645072707,ワイド,1000,360
202645072707,馬単,2000,1060
202645072707,3連複,1000,0
202645072707,3連単,6000,0
202645072708,単勝,500,290
202645072708,複勝,500,310
202645072708,枠連,0,0
202645072708,馬連,1000,710
202645072708,ワイド,1000,370
202645072708,馬単,2000,1250
202645072708,3連複,1000,0
202645072708,3連単,6000,0
202645072709,単勝,500,240
202645072709,複勝,500,220
202645072709,枠連,0,0
202645072709,馬連,1000,250
202645072709,ワイド,1000,130
202645072709,馬単,2000,450
202645072709,3連複,1000,0
202645072709,3連単,6000,0
202645072710,単勝,500,630
202645072710,複勝,500,400
202645072710,枠連,0,0
202645072710,馬連,1000,1650
202645072710,ワイド,1000,580
202645072710,馬単,2000,3720
202645072710,3連複,1000,0
202645072710,3連単,6000,0
202645072711,単勝,500,180
202645072711,複勝,500,350
202645072711,枠連,0,0
202645072711,馬連,1000,790
202645072711,ワイド,1000,310
202645072711,馬単,2000,1080
202645072711,3連複,1000,0
202645072711,3連単,6000,0
202645072712,単勝,500,640
202645072712,複勝,500,540
202645072712,枠連,0,0
202645072712,馬連,1000,940
202645072712,ワイド,1000,1670
202645072712,馬単,2000,2390
202645072712,3連複,1000,2810
202645072712,3連単,6000,15990
202646072701,単勝,500,100
202646072701,複勝,500,280
202646072701,枠連,0,0
202646072701,馬連,1000,0
202646072701,ワイド,1000,180
202646072701,馬単,2000,0
202646072701,3連複,1000,0
202646072701,3連単,6000,0
202646072702,単勝,500,270
202646072702,複勝,500,370
202646072702,枠連,0,0
202646072702,馬連,1000,1850
202646072702,ワイド,1000,820
202646072702,馬単,2000,3080
202646072702,3連複,1000,620
202646072702,3連単,6000,6540
202646072703,単勝,500,160
202646072703,複勝,500,390
202646072703,枠連,0,0
202646072703,馬連,1000,630
202646072703,ワイド,1000,1420
202646072703,馬単,2000,660
202646072703,3連複,1000,1510
202646072703,3連単,6000,3190
202646072704,単勝,500,220
202646072704,複勝,500,230
202646072704,枠連,0,0
202646072704,馬連,1000,280
202646072704,ワイド,1000,160
202646072704,馬単,2000,640
202646072704,3連複,1000,0
202646072704,3連単,6000,0
202646072705,単勝,500,590
202646072705,複勝,500,550
202646072705,枠連,0,0
202646072705,馬連,1000,0
202646072705,ワイド,1000,530
202646072705,馬単,2000,0
202646072705,3連複,1000,0
202646072705,3連単,6000,0
202646072706,単勝,500,0
202646072706,複勝,500,180
202646072706,枠連,0,0
202646072706,馬連,1000,0
202646072706,ワイド,1000,0
202646072706,馬単,2000,0
202646072706,3連複,1000,0
202646072706,3連単,6000,0
202646072707,単勝,500,120
202646072707,複勝,500,230
202646072707,枠連,0,0
202646072707,馬連,1000,190
202646072707,ワイド,1000,200
202646072707,馬単,2000,210
202646072707,3連複,1000,0
202646072707,3連単,6000,0
202646072708,単勝,500,310
202646072708,複勝,500,320
202646072708,枠連,0,0
202646072708,馬連,1000,890
202646072708,ワイド,1000,390
202646072708,馬単,2000,1870
202646072708,3連複,1000,0
202646072708,3連単,6000,0
202646072709,単勝,500,520
202646072709,複勝,500,240
202646072709,枠連,0,0
202646072709,馬連,1000,390
202646072709,ワイド,1000,210
202646072709,馬単,2000,1480
202646072709,3連複,1000,0
202646072709,3連単,6000,0
202646072710,単勝,500,0
202646072710,複勝,500,0
202646072710,枠連,0,0
202646072710,馬連,1000,0
202646072710,ワイド,1000,0
202646072710,馬単,2000,0
202646072710,3連複,1000,0
202646072710,3連単,6000,0
202630072804,単勝,500,0
202630072804,複勝,500,290
202630072804,枠連,0,0
202630072804,馬連,1000,0
202630072804,ワイド,1000,190
202630072804,馬単,2000,0
202630072804,3連複,1000,0
202630072804,3連単,6000,0
202630072805,単勝,500,140
202630072805,複勝,500,380
202630072805,枠連,0,0
202630072805,馬連,1000,210
202630072805,ワイド,1000,760
202630072805,馬単,2000,290
202630072805,3連複,1000,550
202630072805,3連単,6000,1280
202630072806,単勝,500,230
202630072806,複勝,500,370
202630072806,枠連,0,0
202630072806,馬連,1000,440
202630072806,ワイド,1000,750
202630072806,馬単,2000,800
202630072806,3連複,1000,670
202630072806,3連単,6000,2110
202630072807,単勝,500,220
202630072807,複勝,500,210
202630072807,枠連,0,0
202630072807,馬連,1000,160
202630072807,ワイド,1000,500
202630072807,馬単,2000,460
202630072807,3連複,1000,180
202630072807,3連単,6000,1020
202630072808,単勝,500,0
202630072808,複勝,500,730
202630072808,枠連,0,0
