race_id,kaisai_date,field_size,gap_top2,spread,gap_boundary_5,gap_boundary_4,gap_boundary_3,gap_boundary_2,gap_boundary_1,selected_5,gap_pct_5,ladder_conf_5_pct,ladder_conf_5_show_pct,ladder_conf_4_pct,ladder_conf_4_show_pct,ladder_conf_3_pct,ladder_conf_3_show_pct,ladder_conf_2_pct,ladder_conf_2_show_pct,ladder_conf_1_pct,ladder_conf_1_show_pct
202635072601,20260726,9,0.056850494231460005,0.3903126069330303,0.13457520209992593,0.09469079539756581,0.06974628846656249,0.08900635722102605,0.056850494231460005,False,0.13457520209992593,80.12854897193333,False,71.32352122480994,True,58.48647629645497,False,44.714368283410685,True,26.501896088498654,False
202635072602,20260726,9,0.0666834997159391,0.35827900782414784,0.1373465390640561,0.013671525362734957,0.058699891739388936,0.3752179992538975,0.0666834997159391,False,0.1373465390640561,80.1688216327587,False,67.70321940836823,True,58.055189086220324,False,59.27586528422902,True,26.744761219077063,False
202635072603,20260726,9,0.2296272464542785,0.4263414246532126,0.02342308673531019,0.06793422678931114,0.01807457865899984,0.02385186490325391,0.2296272464542785,False,0.02342308673531019,78.46254328453554,False,70.1548370101446,True,56.458915505076114,False,41.43571317446935,True,30.96841590001692,False
202635072604,20260726,11,0.16192980730662926,0.39441781416737365,0.19403672740634315,0.07795375109041303,0.13958437745306068,0.07789434664146119,0.16192980730662926,False,0.19403672740634315,80.9791672235526,False,70.59567560692986,True,61.18068711800837,False,44.15111471215222,True,29.169040863591285,False
202635072605,20260726,11,0.018140144129974993,0.3654705387525305,0.0959479633832533,0.10943951396123182,0.06744954612542556,0.0554832023151581,0.018140144129974993,False,0.0959479633832533,79.56081953459861,False,71.95588809826529,True,58.3969087123434,False,43.019833014778825,True,25.559596115434957,False
202635072606,20260726,9,0.09692170613494325,0.4138299108472818,0.06251040426820548,0.1505777982009059,0.21612865628903327,0.04379662035927566,0.09692170613494325,False,0.06251040426820548,79.05970472626949,False,73.67399484264085,True,64.05654155533162,False,42.43271347018972,True,27.500408939191107,False
202635072607,20260726,9,0.0526630038194933,0.5270530036051249,0.21567109237604717,0.12303998831480373,0.1704255125773611,0.038206142540856615,0.0526630038194933,False,0.21567109237604717,81.28166208230664,False,72.53141835270696,True,62.35009069620633,False,42.15259754014137,True,26.398898567054697,False
202635072608,20260726,9,0.1411249756471705,0.4394490970668171,0.07993144759981136,0.049614903337742225,0.22042389680722363,0.12879975663158616,0.1411249756471705,False,0.07993144759981136,79.32190611852825,False,69.3391044929613,True,64.21517924480627,False,46.741590932404876,True,28.62857007134877,False
202635072609,20260726,9,0.5750070513780755,0.46469380543355293,0.17186429077616797,0.002252553663984666,0.10378532713221232,0.06120760370016906,0.5750070513780755,True,0.17186429077616797,80.66528267455854,False,67.1740494502632,True,59.80705131665084,False,43.30814854507713,True,40.976864919289426,False
202635072610,20260726,9,0.15348847701918275,0.334036403034766,0.3261934338150508,0.024046782979748247,0.07010877504591446,0.00739885187843767,0.15348847701918275,False,0.3261934338150508,82.7692625068132,False,68.18012668018496,True,58.50060731946011,False,40.618469610766866,True,28.949027817450357,False
202635072611,20260726,11,0.39965395225331835,0.4751305797019016,0.0021588623817007007,0.020927306918370595,0.009109357468488274,0.19285630969273607,0.39965395225331835,True,0.0021588623817007007,78.1325269470381,False,68.03713182409648,True,56.10471649681594,False,50.024708098214454,True,35.74093262711447,False
202635072612,20260726,11,0.030816340937269683,0.33995240445622643,0.08892021178919943,0.20674895825956185,0.221479957607122,0.02652713972845939,0.030816340937269683,False,0.08892021178919943,79.45624212024262,False,75.9078865747145,True,64.25413564075808,False,41.56905716024699,True,25.865727374720166,False
