race_id,data_type,scraped_at,status
202610020806,course_analysis_jockey,2026-07-22T12:30:35.818285+00:00,success
202610020806,course_analysis_trainer,2026-07-22T12:30:38.286679+00:00,success
202610020806,course_analysis_sire,2026-07-22T12:30:40.661275+00:00,success
202610020806,course_analysis_broodmare_sire,2026-07-22T12:30:43.081875+00:00,success
202610020806,course_analysis_speed_index,2026-07-22T12:30:45.442515+00:00,success
202610020806,course_ranking,2026-07-22T12:30:47.658921+00:00,success
202610020807,course_analysis_waku,2026-07-22T12:30:50.126483+00:00,success
202610020807,course_analysis_running_style,2026-07-22T12:30:52.914310+00:00,success
202610020807,course_analysis_jockey,2026-07-22T12:30:55.796930+00:00,success
202610020807,course_analysis_trainer,2026-07-22T12:30:58.506347+00:00,success
202610020807,course_analysis_sire,2026-07-22T12:31:01.179556+00:00,success
202610020807,course_analysis_broodmare_sire,2026-07-22T12:31:03.848792+00:00,success
202610020807,course_analysis_speed_index,2026-07-22T12:31:06.239717+00:00,success
202610020807,course_ranking,2026-07-22T12:31:08.533604+00:00,success
202610020808,course_analysis_waku,2026-07-22T12:31:10.832666+00:00,success
202610020808,course_analysis_running_style,2026-07-22T12:31:13.132505+00:00,success
202610020808,course_analysis_jockey,2026-07-22T12:31:15.692932+00:00,success
202610020808,course_analysis_trainer,2026-07-22T12:31:18.033381+00:00,success
202610020808,course_analysis_sire,2026-07-22T12:33:01.108565+00:00,failed
202610020808,course_analysis_broodmare_sire,2026-07-22T12:33:05.306881+00:00,success
202610020808,course_analysis_speed_index,2026-07-22T12:33:07.540353+00:00,success
202610020808,course_ranking,2026-07-22T12:33:09.760191+00:00,success
202610020809,course_analysis_waku,2026-07-22T12:33:12.103057+00:00,success
202610020809,course_analysis_running_style,2026-07-22T12:33:14.382648+00:00,success
202610020809,course_analysis_jockey,2026-07-22T12:33:16.472619+00:00,success
202610020809,course_analysis_trainer,2026-07-22T12:33:18.766230+00:00,success
202610020809,course_analysis_sire,2026-07-22T12:33:20.823611+00:00,success
202610020809,course_analysis_broodmare_sire,2026-07-22T12:33:23.236611+00:00,success
202610020809,course_analysis_speed_index,2026-07-22T12:33:25.413866+00:00,success
202610020809,course_ranking,2026-07-22T12:33:27.623711+00:00,success
202610020810,course_analysis_waku,2026-07-22T12:33:29.859614+00:00,success
202610020810,course_analysis_running_style,2026-07-22T12:33:32.151315+00:00,success
202610020810,course_analysis_jockey,2026-07-22T12:33:34.433501+00:00,success
202610020810,course_analysis_trainer,2026-07-22T12:33:37.092149+00:00,success
202610020810,course_analysis_sire,2026-07-22T12:33:39.501904+00:00,success
202610020810,course_analysis_broodmare_sire,2026-07-22T12:33:41.756951+00:00,success
202610020810,course_analysis_speed_index,2026-07-22T12:33:43.959335+00:00,success
202610020810,course_ranking,2026-07-22T12:33:46.054605+00:00,success
202610020811,course_analysis_waku,2026-07-22T12:33:48.217869+00:00,success
202610020811,course_analysis_running_style,2026-07-22T12:33:50.667298+00:00,success
202610020811,course_analysis_jockey,2026-07-22T12:33:52.912818+00:00,success
202610020811,course_analysis_trainer,2026-07-22T12:33:55.090289+00:00,success
202610020811,course_analysis_sire,2026-07-22T12:33:57.332434+00:00,success
202610020811,course_analysis_broodmare_sire,2026-07-22T12:33:59.675632+00:00,success
202610020811,course_analysis_speed_index,2026-07-22T12:34:01.824840+00:00,success
202610020811,course_ranking,2026-07-22T12:34:04.165929+00:00,success
202610020812,course_analysis_waku,2026-07-22T12:34:06.281278+00:00,success
202610020812,course_analysis_running_style,2026-07-22T12:34:08.392483+00:00,success
202610020812,course_analysis_jockey,2026-07-22T12:34:10.496274+00:00,success
202610020812,course_analysis_trainer,2026-07-22T12:34:12.548187+00:00,success
202610020812,course_analysis_sire,2026-07-22T12:34:14.699386+00:00,success
202610020812,course_analysis_broodmare_sire,2026-07-22T12:34:16.849475+00:00,success
202610020812,course_analysis_speed_index,2026-07-22T12:34:18.957219+00:00,success
202610020812,course_ranking,2026-07-22T12:34:21.136058+00:00,success
202602011201,course_analysis_waku,2026-07-22T12:34:23.293614+00:00,success
202602011201,course_analysis_running_style,2026-07-22T12:34:25.311510+00:00,success
202602011201,course_analysis_jockey,2026-07-22T12:34:27.499151+00:00,success
202602011201,course_analysis_trainer,2026-07-22T12:34:29.532672+00:00,success
202602011201,course_analysis_sire,2026-07-22T12:34:31.720324+00:00,success
202602011201,course_analysis_broodmare_sire,2026-07-22T12:34:33.891873+00:00,success
202602011201,course_analysis_speed_index,2026-07-22T12:34:36.085675+00:00,success
202602011201,course_ranking,2026-07-22T12:34:38.152777+00:00,success
202602011202,course_analysis_waku,2026-07-22T12:34:40.441473+00:00,success
202602011202,course_analysis_running_style,2026-07-22T12:34:42.706150+00:00,success
202602011202,course_analysis_jockey,2026-07-22T12:34:44.962560+00:00,success
202602011202,course_analysis_trainer,2026-07-22T12:34:47.174576+00:00,success
202602011202,course_analysis_sire,2026-07-22T12:34:49.275734+00:00,success
202602011202,course_analysis_broodmare_sire,2026-07-22T12:34:51.527230+00:00,success
202602011202,course_analysis_speed_index,2026-07-22T12:34:53.750498+00:00,success
202602011202,course_ranking,2026-07-22T12:34:55.994426+00:00,success
202602011203,course_analysis_waku,2026-07-22T12:34:58.192210+00:00,success
202602011203,course_analysis_running_style,2026-07-22T12:35:00.355762+00:00,success
202602011203,course_analysis_jockey,2026-07-22T12:35:02.592826+00:00,success
202602011203,course_analysis_trainer,2026-07-22T12:35:04.728365+00:00,success
202602011203,course_analysis_sire,2026-07-22T12:35:06.903773+00:00,success
202602011203,course_analysis_broodmare_sire,2026-07-22T12:35:09.331572+00:00,success
202602011203,course_analysis_speed_index,2026-07-22T12:35:11.648241+00:00,success
202602011203,course_ranking,2026-07-22T12:35:14.028263+00:00,success
202602011204,course_analysis_waku,2026-07-22T12:35:16.750516+00:00,success
202602011204,course_analysis_running_style,2026-07-22T12:35:19.138329+00:00,success
202602011204,course_analysis_jockey,2026-07-22T12:35:21.689067+00:00,success
202602011204,course_analysis_trainer,2026-07-22T12:35:24.140798+00:00,success
202602011204,course_analysis_sire,2026-07-22T12:35:26.436956+00:00,success
202602011204,course_analysis_broodmare_sire,2026-07-22T12:35:28.810243+00:00,success
202602011204,course_analysis_speed_index,2026-07-22T12:35:31.081782+00:00,success
202602011204,course_ranking,2026-07-22T12:35:33.249427+00:00,success
202602011205,course_analysis_waku,2026-07-22T12:35:35.455213+00:00,success
202602011205,course_analysis_running_style,2026-07-22T12:35:37.599810+00:00,success
202602011205,course_analysis_jockey,2026-07-22T12:35:39.865563+00:00,success
202602011205,course_analysis_trainer,2026-07-22T12:35:42.109886+00:00,success
202602011205,course_analysis_sire,2026-07-22T12:35:44.527950+00:00,success
202602011205,course_analysis_broodmare_sire,2026-07-22T12:35:47.026456+00:00,success
202602011205,course_analysis_speed_index,2026-07-22T12:35:49.206974+00:00,success
202602011205,course_ranking,2026-07-22T12:35:51.218271+00:00,success
202602011206,course_analysis_waku,2026-07-22T12:35:53.478265+00:00,success
202602011206,course_analysis_running_style,2026-07-22T12:35:55.820582+00:00,success
202602011206,course_analysis_jockey,2026-07-22T12:35:58.135055+00:00,success
202602011206,course_analysis_trainer,2026-07-22T12:36:00.392332+00:00,success
202602011206,course_analysis_sire,2026-07-22T12:36:02.729625+00:00,success
202602011206,course_analysis_broodmare_sire,2026-07-22T12:36:05.144383+00:00,success
202602011206,course_analysis_speed_index,2026-07-22T12:36:07.404307+00:00,success
202602011206,course_ranking,2026-07-22T12:36:09.621688+00:00,success
202602011207,course_analysis_waku,2026-07-22T12:36:11.830900+00:00,success
202602011207,course_analysis_running_style,2026-07-22T12:36:14.157802+00:00,success
202602011207,course_analysis_jockey,2026-07-22T12:36:16.453047+00:00,success
202602011207,course_analysis_trainer,2026-07-22T12:36:18.722992+00:00,success
202602011207,course_analysis_sire,2026-07-22T12:36:21.088565+00:00,success
202602011207,course_analysis_broodmare_sire,2026-07-22T12:36:23.476162+00:00,success
202602011207,course_analysis_speed_index,2026-07-22T12:36:25.671365+00:00,success
202602011207,course_ranking,2026-07-22T12:36:27.912721+00:00,success
202602011208,course_analysis_waku,2026-07-22T12:36:30.122150+00:00,success
202602011208,course_analysis_running_style,2026-07-22T12:36:32.470227+00:00,success
202602011208,course_analysis_jockey,2026-07-22T12:36:34.827883+00:00,success
202602011208,course_analysis_trainer,2026-07-22T12:36:37.390772+00:00,success
202602011208,course_analysis_sire,2026-07-22T12:36:39.824526+00:00,success
202602011208,course_analysis_broodmare_sire,2026-07-22T12:36:42.301156+00:00,success
202602011208,course_analysis_speed_index,2026-07-22T12:36:44.848111+00:00,success
202602011208,course_ranking,2026-07-22T12:36:46.949644+00:00,success
202602011209,course_analysis_waku,2026-07-22T12:36:49.259894+00:00,success
202602011209,course_analysis_running_style,2026-07-22T12:36:51.426640+00:00,success
202602011209,course_analysis_jockey,2026-07-22T12:36:53.831797+00:00,success
202602011209,course_analysis_trainer,2026-07-22T12:36:56.122128+00:00,success
202602011209,course_analysis_sire,2026-07-22T12:36:58.464799+00:00,success
202602011209,course_analysis_broodmare_sire,2026-07-22T12:37:00.680843+00:00,success
202602011209,course_analysis_speed_index,2026-07-22T12:37:02.962346+00:00,success
202602011209,course_ranking,2026-07-22T12:37:05.080905+00:00,success
202602011210,course_analysis_waku,2026-07-22T12:37:07.479854+00:00,success
202602011210,course_analysis_running_style,2026-07-22T12:37:09.842995+00:00,success
202602011210,course_analysis_jockey,2026-07-22T12:37:12.067876+00:00,success
202602011210,course_analysis_trainer,2026-07-22T12:37:14.398441+00:00,success
202602011210,course_analysis_sire,2026-07-22T12:37:16.684014+00:00,success
202602011210,course_analysis_broodmare_sire,2026-07-22T12:37:19.001325+00:00,success
202602011210,course_analysis_speed_index,2026-07-22T12:37:21.149347+00:00,success
202602011210,course_ranking,2026-07-22T12:37:23.471989+00:00,success
202602011211,course_analysis_waku,2026-07-22T12:37:25.743556+00:00,success
202602011211,course_analysis_running_style,2026-07-22T12:37:27.976553+00:00,success
202602011211,course_analysis_jockey,2026-07-22T12:37:30.213087+00:00,success
202602011211,course_analysis_trainer,2026-07-22T12:37:32.487700+00:00,success
202602011211,course_analysis_sire,2026-07-22T12:37:34.737362+00:00,success
202602011211,course_analysis_broodmare_sire,2026-07-22T12:37:37.025884+00:00,success
202602011211,course_analysis_speed_index,2026-07-22T12:37:39.224578+00:00,success
202602011211,course_ranking,2026-07-22T12:37:41.520206+00:00,success
202602011212,course_analysis_waku,2026-07-22T12:37:43.822020+00:00,success
202602011212,course_analysis_running_style,2026-07-22T12:37:45.937958+00:00,success
202602011212,course_analysis_jockey,2026-07-22T12:37:48.141957+00:00,success
202602011212,course_analysis_trainer,2026-07-22T12:37:50.425739+00:00,success
202602011212,course_analysis_sire,2026-07-22T12:37:52.611232+00:00,success
202602011212,course_analysis_broodmare_sire,2026-07-22T12:37:54.747340+00:00,success
202602011212,course_analysis_speed_index,2026-07-22T12:37:56.947119+00:00,success
202602011212,course_ranking,2026-07-22T12:37:59.130401+00:00,success
202603020809,course_analysis_running_style,2026-07-22T12:38:49.780298+00:00,success
202610020808,course_analysis_sire,2026-07-22T12:38:52.833021+00:00,success
202603020701,race_result,2026-07-22T12:47:11.291037+00:00,success
202603020702,race_result,2026-07-22T12:47:13.548399+00:00,success
202603020703,race_result,2026-07-22T12:47:15.743662+00:00,success
202603020704,race_result,2026-07-22T12:47:17.948383+00:00,success
202603020705,race_result,2026-07-22T12:47:20.190807+00:00,success
202603020706,race_result,2026-07-22T12:47:22.420362+00:00,success
202603020707,race_result,2026-07-22T12:47:24.468498+00:00,success
202603020708,race_result,2026-07-22T12:47:26.723706+00:00,success
202603020709,race_result,2026-07-22T12:47:28.940453+00:00,success
202603020710,race_result,2026-07-22T12:47:31.212377+00:00,success
202603020711,race_result,2026-07-22T12:47:33.263079+00:00,success
202603020712,race_result,2026-07-22T12:47:35.504210+00:00,success
202610020701,race_result,2026-07-22T12:47:37.653836+00:00,success
202610020702,race_result,2026-07-22T12:47:39.837171+00:00,success
202610020703,race_result,2026-07-22T12:47:42.079029+00:00,success
202610020704,race_result,2026-07-22T12:47:44.136752+00:00,success
202610020705,race_result,2026-07-22T12:47:46.345544+00:00,success
202610020706,race_result,2026-07-22T12:47:48.422614+00:00,success
202610020707,race_result,2026-07-22T12:47:50.440026+00:00,success
202610020708,race_result,2026-07-22T12:47:52.529627+00:00,success
202610020709,race_result,2026-07-22T12:47:54.614786+00:00,success
202610020710,race_result,2026-07-22T12:47:56.832755+00:00,success
202610020711,race_result,2026-07-22T12:47:58.896221+00:00,success
202610020712,race_result,2026-07-22T12:48:01.061486+00:00,success
202602011101,race_result,2026-07-22T12:48:03.367165+00:00,success
202602011102,race_result,2026-07-22T12:48:05.460021+00:00,success
202602011103,race_result,2026-07-22T12:48:07.473789+00:00,success
202602011104,race_result,2026-07-22T12:48:09.611243+00:00,success
202602011105,race_result,2026-07-22T12:48:11.898944+00:00,success
202602011106,race_result,2026-07-22T12:48:13.989490+00:00,success
202602011107,race_result,2026-07-22T12:48:16.238694+00:00,success
202602011108,race_result,2026-07-22T12:48:18.284939+00:00,success
202602011109,race_result,2026-07-22T12:48:20.506439+00:00,success
202602011110,race_result,2026-07-22T12:48:22.667701+00:00,success
202602011111,race_result,2026-07-22T12:48:24.709334+00:00,success
202602011112,race_result,2026-07-22T12:48:26.766634+00:00,success
202603020701,course_analysis_waku,2026-07-22T12:48:42.184022+00:00,success
202603020701,course_analysis_running_style,2026-07-22T12:48:44.335996+00:00,success
202603020701,course_analysis_jockey,2026-07-22T12:48:46.651584+00:00,success
202603020701,course_analysis_trainer,2026-07-22T12:48:48.840018+00:00,success
202603020701,course_analysis_sire,2026-07-22T12:48:51.037400+00:00,success
202603020701,course_analysis_broodmare_sire,2026-07-22T12:48:53.177957+00:00,success
202603020701,course_analysis_speed_index,2026-07-22T12:48:55.424714+00:00,success
202603020701,course_ranking,2026-07-22T12:48:57.521670+00:00,success
202603020702,course_analysis_waku,2026-07-22T12:48:59.711399+00:00,success
202603020702,course_analysis_running_style,2026-07-22T12:49:01.812021+00:00,success
202603020702,course_analysis_jockey,2026-07-22T12:49:04.056794+00:00,success
202603020702,course_analysis_trainer,2026-07-22T12:49:06.242359+00:00,success
202603020702,course_analysis_sire,2026-07-22T12:49:08.436014+00:00,success
202603020702,course_analysis_broodmare_sire,2026-07-22T12:49:10.705398+00:00,success
202603020702,course_analysis_speed_index,2026-07-22T12:49:12.902313+00:00,success
202603020702,course_ranking,2026-07-22T12:49:15.030097+00:00,success
202603020703,course_analysis_waku,2026-07-22T12:49:17.160907+00:00,success
202603020703,course_analysis_running_style,2026-07-22T12:49:19.352523+00:00,success
202603020703,course_analysis_jockey,2026-07-22T12:49:21.510801+00:00,success
202603020703,course_analysis_trainer,2026-07-22T12:49:23.652156+00:00,success
202603020703,course_analysis_sire,2026-07-22T12:49:26.118169+00:00,success
202603020703,course_analysis_broodmare_sire,2026-07-22T12:49:28.490686+00:00,success
202603020703,course_analysis_speed_index,2026-07-22T12:49:30.880776+00:00,success
202603020703,course_ranking,2026-07-22T12:49:33.204810+00:00,success
202603020704,course_analysis_waku,2026-07-22T12:49:35.638377+00:00,success
202603020704,course_analysis_running_style,2026-07-22T12:49:37.983837+00:00,success
202603020704,course_analysis_jockey,2026-07-22T12:49:40.217004+00:00,success
